,LIBMIN,Japanese,Prefecture,PMUN15,SURFACE,Density,Founded,Homepage,LAT,LONG
0,Nagoya ,名古屋市 ,Aichi ,2283289 ,326.45,6860 ,1889-10-01 ,[1],35.1814464,136.906398
1,Toyohashi ,豊橋市 ,Aichi ,377045 ,261.35,1443 ,1906-08-01 ,[2],34.7691995,137.3914662
2,Okazaki ,岡崎市 ,Aichi ,371380 ,387.24,959 ,1916-07-01 ,[3],34.9543786,137.1743293
3,Ichinomiya ,一宮市 ,Aichi ,375939 ,113.91,3300 ,1921-09-01 ,[4],35.3038899,136.8029326
4,Seto ,瀬戸市 ,Aichi ,132311 ,111.61,1185 ,1929-10-01 ,[5],35.2239579,137.0840296
5,Handa ,半田市 ,Aichi ,117927 ,47.24,2496 ,1937-10-01 ,[6],34.8917179,136.937961
6,Kasugai ,春日井市 ,Aichi ,300713 ,92.71,3244 ,1943-06-01 ,[7],35.247611,136.9722236
7,Toyokawa ,豊川市 ,Aichi ,161595 ,150.71,1072 ,1943-06-01 ,[8],34.8268506,137.3755423
8,Tsushima ,津島市 ,Aichi ,65646 ,25.08,2617 ,1947-03-01 ,[9],35.1770291,136.7412138
9,Hekinan ,碧南市 ,Aichi ,73024 ,35.86,2036 ,1948-04-05 ,[10],34.8848038,136.9933755
10,Kariya ,刈谷市 ,Aichi ,145117 ,50.45,2876 ,1950-04-01 ,[11],34.9892245,137.0021069
11,Toyota ,豊田市 ,Aichi ,420286 ,918.47,458 ,1951-03-01 ,[12],35.0823947,137.1562491
12,Anjō ,安城市 ,Aichi ,176046 ,86.01,2047 ,1952-05-05 ,[13],34.9586414,137.080297
13,Nishio ,西尾市 ,Aichi ,106643 ,75.78,1407 ,1953-12-15 ,[14],34.8619367,137.0618498
14,Gamagōri ,蒲郡市 ,Aichi ,82264 ,56.81,1448 ,1954-04-01 ,[15],34.8265004,137.2195158
15,Inuyama ,犬山市 ,Aichi ,75304 ,74.97,1004 ,1954-04-01 ,[16],35.3786067,136.9445638
16,Tokoname ,常滑市 ,Aichi ,52837 ,55.63,950 ,1954-04-01 ,[17],34.8867002,136.8323973
17,Kōnan ,江南市 ,Aichi ,100064 ,30.17,3317 ,1954-06-01 ,[18],35.3320112,136.8706172
18,Komaki ,小牧市 ,Aichi ,149060 ,62.82,2373 ,1955-01-01 ,[19],35.2903104,136.9109515
19,Inazawa ,稲沢市 ,Aichi ,137475 ,79.3,1734 ,1958-11-01 ,[20],35.2481321,136.780202
20,Tōkai ,東海市 ,Aichi ,106708 ,43.36,2461 ,1969-04-01 ,[21],35.0228426,136.90253
21,Ōbu ,大府市 ,Aichi ,83097 ,33.68,2467 ,1970-09-01 ,[22],35.0116566,136.9638347
22,Chita ,知多市 ,Aichi ,84782 ,45.43,1866 ,1970-09-01 ,[23],34.9965332,136.8647553
23,Chiryū ,知立市 ,Aichi ,68216 ,16.34,4175 ,1970-12-01 ,[24],35.0012715,137.0507493
24,Owariasahi ,尾張旭市 ,Aichi ,79197 ,21.03,3766 ,1970-12-01 ,[25],35.2165127,137.0353957
25,Takahama ,高浜市 ,Aichi ,43467 ,13.0,3344 ,1970-12-01 ,[26],34.9276434,136.9876769
26,Iwakura ,岩倉市 ,Aichi ,48042 ,10.49,4580 ,1971-12-01 ,[27],35.2795027,136.8714306
27,Toyoake ,豊明市 ,Aichi ,69124 ,23.18,2982 ,1972-08-01 ,[28],35.0536877,137.0129968
28,Nisshin ,日進市 ,Aichi ,80921 ,34.9,2319 ,1994-10-01 ,[29],35.1320154,137.0394117
29,Tahara ,田原市 ,Aichi ,66698 ,188.81,353 ,2003-08-20 ,[30],34.6688056,137.2642033
30,Aisai ,愛西市 ,Aichi ,65481 ,66.63,983 ,2005-04-01 ,[31],35.1531406,136.7280996
31,Kiyosu ,清須市 ,Aichi ,56635 ,13.31,4255 ,2005-07-07 ,[32],35.2033806,136.8655213
32,Shinshiro ,新城市 ,Aichi ,51326 ,499.0,103 ,2005-10-01 ,[33],34.8992291,137.4984758
33,Kitanagoya ,北名古屋市 ,Aichi ,80112 ,18.37,4361 ,2006-03-20 ,[34],35.2456681,136.8660083
34,Yatomi ,弥富市 ,Aichi ,43145 ,48.92,882 ,2006-04-01 ,[35],35.1100184,136.7247393
35,Miyoshi ,みよし市 ,Aichi ,- ,32.11,- ,2010-01-04 ,[36],35.0894103,137.0748539
36,Ama ,あま市 ,Aichi ,- ,27.59,- ,2010-03-22 ,[37],35.1703037,136.8008305
37,Akita ,秋田市 ,Akita ,329287 ,905.67,364 ,1889-04-01 ,[38],39.7199218,140.1035697
38,Ōdate ,大館市 ,Akita ,80587 ,913.7,88.2 ,1951-04-01 ,[39],40.271405,140.5642854
39,Kazuno ,鹿角市 ,Akita ,35543 ,707.34,50.2 ,1972-04-01 ,[40],40.2157778,140.7884361
40,Daisen ,大仙市 ,Akita ,91143 ,866.67,105 ,2005-03-22 ,[41],39.4530882,140.4754481
41,Katagami ,潟上市 ,Akita ,35460 ,97.96,362 ,2005-03-22 ,[42],39.8572876,140.013054
42,Kitaakita ,北秋田市 ,Akita ,38543 ,1152.57,33.4 ,2005-03-22 ,[43],40.2260542,140.3707417
43,Oga ,男鹿市 ,Akita ,34194 ,240.8,142 ,2005-03-22 ,[44],39.8868177,139.847558
44,Yurihonjō ,由利本荘市 ,Akita ,87525 ,1209.04,72.4 ,2005-03-22 ,[45],39.3858766,140.0487906
45,Yuzawa ,湯沢市 ,Akita ,53588 ,790.72,67.8 ,2005-03-22 ,[46],39.1643041,140.4956629
46,Semboku ,仙北市 ,Akita ,30885 ,1093.64,28.2 ,2005-09-20 ,[47],39.7000694,140.7305881
47,Yokote ,横手市 ,Akita ,101234 ,693.6,146 ,2005-10-01 ,[48],39.3137816,140.5666488
48,Nikaho ,にかほ市 ,Akita ,28422 ,240.61,118 ,2005-10-01 ,[49],39.2030116,139.9077127
49,Noshiro ,能代市 ,Akita ,61295 ,426.74,144 ,2006-03-21 ,[50],40.2121508,140.0266238
50,Hachinohe ,八戸市 ,Aomori ,241613 ,305.17,792 ,1929-05-01 ,[51],40.5122839,141.4883986
51,Kuroishi ,黒石市 ,Aomori ,37585 ,216.96,173 ,1954-07-01 ,[52],40.6426318,140.5946454
52,Misawa ,三沢市 ,Aomori ,42535 ,119.97,355 ,1958-09-01 ,[53],40.6831337,141.3689761
53,Mutsu ,むつ市 ,Aomori ,62220 ,863.79,72.0 ,1959-09-01 ,[54],41.2927457,141.1834755
54,Towada ,十和田市 ,Aomori ,66834 ,688.6,97.1 ,2005-01-01 ,[55],40.464869,140.8772428
55,Tsugaru ,つがる市 ,Aomori ,38919 ,253.85,153 ,2005-02-11 ,[56],40.808639,140.3800593
56,Goshogawara ,五所川原市 ,Aomori ,60788 ,404.58,150 ,2005-03-28 ,[57],40.808002,140.44009
57,Aomori ,青森市 ,Aomori ,305884 ,824.52,371 ,2005-04-01 ,[58],40.822072,140.7473647
58,Hirakawa ,平川市 ,Aomori ,34638 ,345.81,100 ,2006-01-01 ,[59],40.5840107,140.5664783
59,Hirosaki ,弘前市 ,Aomori ,185865 ,523.6,355 ,2006-02-27 ,[60],40.6031243,140.4639223
60,Chiba ,千葉市 ,Chiba ,938695 ,272.08,3450 ,1921-01-01 ,[61],35.6072668,140.1062907
61,Chōshi ,銚子市 ,Chiba ,72348 ,83.91,862 ,1933-02-11 ,[62],35.7346813,140.8266406
62,Ichikawa ,市川市 ,Chiba ,470149 ,57.4,8191 ,1934-11-03 ,[63],35.7219115,139.9310099
63,Funabashi ,船橋市 ,Chiba ,586762 ,85.64,6851 ,1937-04-01 ,[64],35.6947058,139.982618
64,Tateyama ,館山市 ,Chiba ,49987 ,110.21,454 ,1939-11-03 ,[65],34.9965057,139.8699653
65,Kisarazu ,木更津市 ,Chiba ,123743 ,138.73,892 ,1942-11-03 ,[66],35.3812265,139.92486
66,Matsudo ,松戸市 ,Chiba ,477603 ,61.33,7787 ,1943-04-01 ,[67],35.7876491,139.903093
67,Noda ,野田市 ,Chiba ,153422 ,103.54,1482 ,1950-05-03 ,[68],35.9551921,139.8747636
68,Mobara ,茂原市 ,Chiba ,93032 ,100.01,930 ,1952-04-01 ,[69],35.4285439,140.2880265
69,Narita ,成田市 ,Chiba ,124773 ,213.84,583 ,1954-03-31 ,[70],35.7766076,140.3187806
70,Sakura ,佐倉市 ,Chiba ,171472 ,103.59,1655 ,1954-03-31 ,[71],35.7234861,140.2239639
71,Tōgane ,東金市 ,Chiba ,61591 ,89.34,689 ,1954-04-01 ,[72],35.5599438,140.3660922
72,Narashino ,習志野市 ,Chiba ,159758 ,20.99,7611 ,1954-08-01 ,[73],35.6830349,140.0243648
73,Kashiwa ,柏市 ,Chiba ,389036 ,114.9,3386 ,1954-09-01 ,[74],35.8676124,139.9758505
74,Katsuura ,勝浦市 ,Chiba ,21413 ,94.2,227 ,1958-10-01 ,[75],35.152283,140.3209324
75,Ichihara ,市原市 ,Chiba ,279591 ,368.2,759 ,1963-05-01 ,[76],35.4978377,140.1156648
76,Nagareyama ,流山市 ,Chiba ,156686 ,35.28,4441 ,1967-01-01 ,[77],35.8563097,139.9026602
77,Yachiyo ,八千代市 ,Chiba ,184655 ,51.27,3602 ,1967-01-01 ,[78],35.7224684,140.0997724
78,Abiko ,我孫子市 ,Chiba ,133533 ,43.19,3092 ,1970-07-01 ,[79],35.8641227,140.0282255
79,Kamagaya ,鎌ヶ谷市 ,Chiba ,104564 ,21.11,4953 ,1971-09-01 ,[80],35.7767501,140.0007904
80,Kimitsu ,君津市 ,Chiba ,89350 ,318.83,280 ,1971-09-01 ,[81],35.3304502,139.9026768
81,Futtsu ,富津市 ,Chiba ,48973 ,205.35,238 ,1971-09-01 ,[82],35.3041204,139.8571048
82,Urayasu ,浦安市 ,Chiba ,159312 ,17.29,9214 ,1981-04-01 ,[83],35.6539835,139.9022034
83,Yotsukaidō ,四街道市 ,Chiba ,85738 ,34.7,2471 ,1981-04-01 ,[84],35.6698162,140.1679247
84,Sodegaura ,袖ヶ浦市 ,Chiba ,59443 ,94.92,626 ,1991-04-01 ,[85],35.4298081,139.9544301
85,Yachimata ,八街市 ,Chiba ,75369 ,74.87,1007 ,1992-04-01 ,[86],35.665917,140.3179516
86,Inzai ,印西市 ,Chiba ,60280 ,53.51,1127 ,1996-04-01 ,[87],35.8323485,140.1458154
87,Shiroi ,白井市 ,Chiba ,57151 ,35.41,1614 ,2001-04-01 ,[88],35.7914999,140.0563717
88,Tomisato ,富里市 ,Chiba ,51590 ,53.91,957 ,2002-04-01 ,[89],35.7268082,140.3430579
89,Kamogawa ,鴨川市 ,Chiba ,35792 ,191.3,187 ,2005-02-11 ,[90],35.1139867,140.0987111
90,Asahi ,旭市 ,Chiba ,69971 ,129.91,539 ,2005-07-01 ,[91],35.7204338,140.6464692
91,Isumi ,いすみ市 ,Chiba ,41605 ,157.5,264 ,2005-12-05 ,[92],35.2538888,140.3850506
92,Sōsa ,匝瑳市 ,Chiba ,41361 ,101.78,406 ,2006-01-23 ,[93],35.7079167,140.5642812
93,Minamibōsō ,南房総市 ,Chiba ,43553 ,230.22,189 ,2006-03-20 ,[94],35.0429906,139.8401276
94,Katori ,香取市 ,Chiba ,85193 ,262.31,325 ,2006-03-27 ,[95],35.8977354,140.4992682
95,Sanmu ,山武市 ,Chiba ,57806 ,146.38,395 ,2006-03-27 ,[96],35.6029638,140.4135064
96,Matsuyama ,松山市 ,Ehime ,515068 ,429.03,1201 ,1889-12-15 ,[97],33.8391574,132.7655752
97,Niihama ,新居浜市 ,Ehime ,123329 ,234.3,526 ,1937-11-03 ,[98],33.9602895,133.2833512
98,Shikokuchūō ,四国中央市 ,Ehime ,91688 ,420.1,218 ,2004-04-01 ,[99],33.9807605,133.5491949
99,Seiyo ,西予市 ,Ehime ,43476 ,514.79,84.5 ,2004-04-01 ,[100],33.36262,132.5109925
100,Tōon ,東温市 ,Ehime ,35517 ,211.45,168 ,2004-09-21 ,[101],33.7910237,132.8722962
101,Saijō ,西条市 ,Ehime ,112543 ,509.05,221 ,2004-11-01 ,[102],33.9195105,133.1811697
102,Ōzu ,大洲市 ,Ehime ,49543 ,432.2,115 ,2005-01-11 ,[103],33.5061936,132.5445085
103,Imabari ,今治市 ,Ehime ,170986 ,419.85,407 ,2005-01-16 ,[104],34.0660979,132.99786
104,Yawatahama ,八幡浜市 ,Ehime ,40010 ,132.98,301 ,2005-03-28 ,[105],33.4628979,132.4233362
105,Iyo ,伊予市 ,Ehime ,38890 ,194.47,200 ,2005-04-01 ,[106],33.7574293,132.7037292
106,Uwajima ,宇和島市 ,Ehime ,86819 ,469.52,185 ,2005-08-01 ,[107],33.2233404,132.5605575
107,Fukui ,福井市 ,Fukui ,268574 ,536.17,501 ,1889-04-01 ,[108],36.0640669,136.2194938
108,Tsuruga ,敦賀市 ,Fukui ,68188 ,250.75,272 ,1937-04-01 ,[109],35.6452443,136.0554408
109,Obama ,小浜市 ,Fukui ,31486 ,232.86,135 ,1951-03-30 ,[110],35.4955931,135.7466439
110,Ōno ,大野市 ,Fukui ,36763 ,872.3,42.1 ,1954-07-01 ,[111],35.9798141,136.4875638
111,Katsuyama ,勝山市 ,Fukui ,26333 ,253.68,104 ,1954-09-01 ,[112],36.060945,136.5005841
112,Sabae ,鯖江市 ,Fukui ,67430 ,84.75,796 ,1955-01-15 ,[113],35.9565532,136.1844742
113,Awara ,あわら市 ,Fukui ,30765 ,116.99,263 ,2004-03-01 ,[114],36.2113529,136.2290254
114,Echizen ,越前市 ,Fukui ,87116 ,230.75,378 ,2005-10-01 ,[115],35.9034986,136.16878
115,Sakai ,坂井市 ,Fukui ,92420 ,209.91,440 ,2006-03-20 ,[116],36.1669252,136.2314572
116,Fukuoka ,福岡市 ,Fukuoka ,1430371 ,340.96,4195 ,1889-04-01 ,[117],33.5903547,130.4017155
117,Kurume ,久留米市 ,Fukuoka ,305147 ,229.84,1328 ,1889-04-01 ,[118],33.3192865,130.5083735
118,Ōmuta ,大牟田市 ,Fukuoka ,127474 ,81.55,1563 ,1917-03-01 ,[119],33.0302622,130.4459852
119,Nōgata ,直方市 ,Fukuoka ,57319 ,61.78,928 ,1931-01-01 ,[120],33.7441839,130.7296326
120,Tagawa ,田川市 ,Fukuoka ,50484 ,54.52,926 ,1943-11-03 ,[121],33.6389822,130.8062975
121,Yanagawa ,柳川市 ,Fukuoka ,72798 ,76.9,947 ,1952-04-01 ,[122],33.1630889,130.4057531
122,Yame ,八女市 ,Fukuoka ,42241 ,98.66,428 ,1954-04-01 ,[123],33.2119674,130.5579082
123,Chikugo ,筑後市 ,Fukuoka ,48281 ,41.85,1154 ,1954-04-01 ,[124],33.2124469,130.5020928
124,Ōkawa ,大川市 ,Fukuoka ,38266 ,33.61,1139 ,1954-04-01 ,[125],33.2065943,130.3839576
125,Yukuhashi ,行橋市 ,Fukuoka ,70064 ,69.83,1003 ,1954-10-10 ,[126],33.7287727,130.982967
126,Buzen ,豊前市 ,Fukuoka ,27578 ,111.17,248 ,1955-04-10 ,[127],33.6115108,131.130051
127,Nakama ,中間市 ,Fukuoka ,45549 ,15.98,2850 ,1958-11-01 ,[128],33.8166498,130.7090769
128,Kitakyūshū ,北九州市 ,Fukuoka ,986998 ,487.71,2024 ,1963-02-10 ,[129],33.8834093,130.8752161
129,Ogōri ,小郡市 ,Fukuoka ,58460 ,45.5,1285 ,1972-04-01 ,[130],33.3964164,130.5554383
130,Chikushino ,筑紫野市 ,Fukuoka ,98914 ,87.78,1127 ,1972-04-01 ,[131],33.4963423,130.5156572
131,Kasuga ,春日市 ,Fukuoka ,107845 ,14.15,7622 ,1972-04-01 ,[132],33.532571,130.4702806
132,Ōnojō ,大野城市 ,Fukuoka ,94037 ,26.88,3498 ,1972-04-01 ,[133],33.536307,130.478641
133,Munakata ,宗像市 ,Fukuoka ,94877 ,119.66,793 ,1981-04-01 ,[134],33.8054314,130.5407182
134,Dazaifu ,太宰府市 ,Fukuoka ,68561 ,29.58,2318 ,1982-04-01 ,[135],33.5127991,130.5239064
135,Koga ,古賀市 ,Fukuoka ,57084 ,42.11,1356 ,1997-10-01 ,[136],33.7287865,130.4699872
136,Fukutsu ,福津市 ,Fukuoka ,55123 ,52.7,1046 ,2005-01-24 ,[137],33.7868658,130.4698859
137,Ukiha ,うきは市 ,Fukuoka ,32277 ,117.55,275 ,2005-03-20 ,[138],33.347297,130.7549338
138,Miyawaka ,宮若市 ,Fukuoka ,30793 ,139.99,220 ,2006-02-11 ,[139],33.7235676,130.6666936
139,Asakura ,朝倉市 ,Fukuoka ,57881 ,246.73,235 ,2006-03-20 ,[140],33.4234125,130.665573
140,Iizuka ,飯塚市 ,Fukuoka ,132208 ,214.13,617 ,2006-03-26 ,[141],33.6459075,130.6915113
141,Kama ,嘉麻市 ,Fukuoka ,44431 ,135.18,329 ,2006-03-27 ,[142],33.560662,130.7668169
142,Miyama ,みやま市 ,Fukuoka ,42219 ,105.12,402 ,2007-01-29 ,[143],33.1524253,130.4747203
143,Itoshima ,糸島市 ,Fukuoka ,- ,216.12,- ,2010-01-01 ,[144],33.5573203,130.195555
144,Aizuwakamatsu ,会津若松市 ,Fukushima ,129388 ,383.03,338 ,1899-04-01 ,[145],37.4947611,139.9298096
145,Fukushima ,福島市 ,Fukushima ,289355 ,746.43,388 ,1907-04-01 ,[146],37.7608337,140.4747282
146,Kōriyama ,郡山市 ,Fukushima ,339395 ,757.06,448 ,1924-09-01 ,[147],37.400529,140.3597421
147,Sukagawa ,須賀川市 ,Fukushima ,80336 ,279.55,287 ,1954-03-31 ,[148],37.2928933,140.3569753
148,Sōma ,相馬市 ,Fukushima ,38543 ,197.67,195 ,1954-03-31 ,[149],37.7966242,140.9194697
149,Iwaki ,いわき市 ,Fukushima ,349947 ,1231.34,284 ,1966-10-01 ,[150],37.0504195,140.8876817
150,Tamura ,田村市 ,Fukushima ,42221 ,458.3,92.1 ,2005-03-01 ,[151],37.4405496,140.5764222
151,Shirakawa ,白河市 ,Fukushima ,65665 ,305.3,215 ,2005-11-07 ,[152],37.126362,140.2109427
152,Nihonmatsu ,二本松市 ,Fukushima ,61698 ,344.65,179 ,2005-12-01 ,[153],37.5848581,140.4311291
153,Minamisōma ,南相馬市 ,Fukushima ,71761 ,398.5,180 ,2006-01-01 ,[154],37.6421608,140.9572757
154,Date ,伊達市 ,Fukushima ,67487 ,265.1,255 ,2006-01-01 ,[155],37.8191383,140.5629082
155,Kitakata ,喜多方市 ,Fukushima ,54684 ,554.67,98.6 ,2006-01-04 ,[156],37.651355,139.8746088
156,Motomiya ,本宮市 ,Fukushima ,31737 ,87.94,361 ,2007-01-01 ,[157],37.5131313,140.3938904
157,Gifu ,岐阜市 ,Gifu ,412779 ,202.89,2034 ,1889-07-01 ,[158],35.4232984,136.7606537
158,Ōgaki ,大垣市 ,Gifu ,163047 ,206.52,789 ,1918-04-01 ,[159],35.3593842,136.6127502
159,Takayama ,高山市 ,Gifu ,94879 ,2177.67,43.6 ,1936-11-01 ,[160],36.1461236,137.2521729
160,Tajimi ,多治見市 ,Gifu ,114866 ,91.24,1259 ,1940-08-01 ,[161],35.3328,137.1320765
161,Seki ,関市 ,Gifu ,92896 ,472.84,196 ,1950-10-15 ,[162],35.495738,136.9178419
162,Nakatsugawa ,中津川市 ,Gifu ,83116 ,676.38,123 ,1952-04-01 ,[163],35.4875479,137.5005092
163,Mino ,美濃市 ,Gifu ,22912 ,117.05,196 ,1954-04-01 ,[164],35.5447697,136.9075396
164,Mizunami ,瑞浪市 ,Gifu ,41556 ,175.0,237 ,1954-04-01 ,[165],35.3617124,137.2545866
165,Hashima ,羽島市 ,Gifu ,67167 ,53.64,1252 ,1954-04-01 ,[166],35.31991,136.7033494
166,Minokamo ,美濃加茂市 ,Gifu ,53988 ,74.81,722 ,1954-04-01 ,[167],35.4402422,137.0156644
167,Toki ,土岐市 ,Gifu ,61393 ,116.01,529 ,1955-02-01 ,[168],35.3525002,137.183202
168,Kakamigahara ,各務原市 ,Gifu ,145126 ,87.77,1653 ,1963-04-01 ,[169],35.3988691,136.8482643
169,Kani ,可児市 ,Gifu ,99318 ,87.6,1134 ,1982-04-01 ,[170],35.4261208,137.0610107
170,Yamagata ,山県市 ,Gifu ,29857 ,222.04,134 ,2003-04-01 ,[171],35.5061094,136.7813716
171,Mizuho ,瑞穂市 ,Gifu ,51230 ,28.18,1818 ,2003-05-01 ,[172],35.4040939,136.6497738
172,Hida ,飛騨市 ,Gifu ,28112 ,792.31,35.5 ,2004-02-01 ,[173],36.2381244,137.186317
173,Motosu ,本巣市 ,Gifu ,34729 ,374.57,92.7 ,2004-02-01 ,[174],35.4830469,136.6787656
174,Gujō ,郡上市 ,Gifu ,46338 ,1030.79,45.0 ,2004-03-01 ,[175],35.7485771,136.9643543
175,Gero ,下呂市 ,Gifu ,37455 ,851.06,44.0 ,2004-03-01 ,[176],35.8058817,137.2441002
176,Ena ,恵那市 ,Gifu ,54844 ,504.19,109 ,2004-10-25 ,[177],35.449314,137.4128083
177,Kaizu ,海津市 ,Gifu ,38532 ,112.31,343 ,2005-03-28 ,[178],35.2204924,136.6366621
178,Maebashi ,前橋市 ,Gunma ,318058 ,241.22,1319 ,1892-04-01 ,[179],36.3894816,139.0634281
179,Takasaki ,高崎市 ,Gunma ,341838 ,401.01,852 ,1900-04-01 ,[180],36.3219088,139.0032936
180,Kiryū ,桐生市 ,Gunma ,124892 ,274.57,455 ,1921-03-01 ,[181],36.4054907,139.3306875
181,Isesaki ,伊勢崎市 ,Gunma ,204240 ,139.33,1466 ,1940-09-13 ,[182],36.3113639,139.1967703
182,Ōta ,太田市 ,Gunma ,214049 ,176.49,1213 ,1948-05-03 ,[183],36.2911223,139.3754708
183,Numata ,沼田市 ,Gunma ,52319 ,443.37,118 ,1954-04-01 ,[184],36.6460769,139.0441608
184,Tatebayashi ,館林市 ,Gunma ,79023 ,60.98,1296 ,1954-04-01 ,[185],36.2448485,139.5419678
185,Fujioka ,藤岡市 ,Gunma ,68710 ,180.09,382 ,1954-04-01 ,[186],36.2584765,139.0744386
186,Shibukawa ,渋川市 ,Gunma ,86134 ,240.42,358 ,2006-02-20 ,[187],36.4894706,139.0004482
187,Annaka ,安中市 ,Gunma ,62270 ,276.34,225 ,2006-03-18 ,[188],36.3263676,138.8873239
188,Tomioka ,富岡市 ,Gunma ,53332 ,122.9,434 ,2006-03-27 ,[189],36.2598962,138.8899322
189,Midori ,みどり市 ,Gunma ,51964 ,208.23,250 ,2006-03-27 ,[190],36.3948381,139.2811346
190,Hiroshima ,広島市 ,Hiroshima ,1163806 ,905.13,1286 ,1889-04-01 ,[191],34.3852029,132.4552927
191,Onomichi ,尾道市 ,Hiroshima ,148085 ,284.85,520 ,1898-04-01 ,[192],34.4088756,133.2048886
192,Kure ,呉市 ,Hiroshima ,246118 ,353.74,696 ,1902-10-01 ,[193],34.2486458,132.5654407
193,Fukuyama ,福山市 ,Hiroshima ,461368 ,518.07,891 ,1916-07-01 ,[194],34.4858993,133.3623127
194,Mihara ,三原市 ,Hiroshima ,103209 ,471.03,219 ,1936-11-15 ,[195],34.3974332,133.0786576
195,Fuchū ,府中市 ,Hiroshima ,44212 ,195.71,226 ,1954-03-31 ,[196],34.5683467,133.2363206
196,Miyoshi ,三次市 ,Hiroshima ,58264 ,778.19,74.9 ,1954-03-31 ,[197],34.8055738,132.851674
197,Shōbara ,庄原市 ,Hiroshima ,41747 ,1246.6,33.5 ,1954-03-31 ,[198],34.8577316,133.0172775
198,Ōtake ,大竹市 ,Hiroshima ,29665 ,78.55,378 ,1954-09-01 ,[199],34.2379773,132.2224752
199,Takehara ,竹原市 ,Hiroshima ,29803 ,118.3,252 ,1958-11-03 ,[200],34.3417943,132.9070883
200,Higashihiroshima ,東広島市 ,Hiroshima ,187711 ,635.32,295 ,1974-04-20 ,[201],34.4263804,132.7433068
201,Hatsukaichi ,廿日市市 ,Hiroshima ,115184 ,489.36,235 ,1988-04-01 ,[202],34.3482578,132.331622
202,Akitakata ,安芸高田市 ,Hiroshima ,32323 ,537.79,60.1 ,2004-03-01 ,[203],34.6663075,132.7042987
203,Etajima ,江田島市 ,Hiroshima ,28601 ,100.97,283 ,2004-11-01 ,[204],34.2230022,132.4438548
204,Sapporo ,札幌市 ,Hokkaidō ,1918096 ,1710.0,1699 ,1922-08-01 ,[205],43.0620958,141.3543763
