,LIBMIN,Japanese,Prefecture,PMUN15,SURFACE,Density,Founded,Homepage,LAT,LONG
609,Toda ,戸田市 ,Saitama ,118591 ,18.17,6527 ,1966-10-01 ,[610],35.8176157,139.6778917
610,Iruma ,入間市 ,Saitama ,148203 ,44.74,3313 ,1966-11-01 ,[611],35.8357657,139.3910576
611,Asaka ,朝霞市 ,Saitama ,126902 ,18.38,6904 ,1967-03-15 ,[612],35.7972524,139.5939165
612,Shiki ,志木市 ,Saitama ,68531 ,9.06,7564 ,1970-10-26 ,[613],35.8367501,139.5803194
613,Wakō ,和光市 ,Saitama ,78575 ,11.04,7117 ,1970-10-31 ,[614],35.7812079,139.6057934
614,Niiza ,新座市 ,Saitama ,155926 ,22.8,6839 ,1970-11-01 ,[615],35.7935109,139.565369
615,Okegawa ,桶川市 ,Saitama ,74703 ,25.26,2957 ,1970-11-03 ,[616],36.0057789,139.5425311
616,Kuki ,久喜市 ,Saitama ,71667 ,25.35,2827 ,1971-10-01 ,[617],36.0619954,139.666838
617,Kitamoto ,北本市 ,Saitama ,69903 ,19.84,3523 ,1971-11-03 ,[618],36.0267679,139.5302112
618,Yashio ,八潮市 ,Saitama ,78601 ,18.03,4359 ,1972-01-15 ,[619],35.822536,139.8391748
619,Fujimi ,富士見市 ,Saitama ,105286 ,19.7,5344 ,1972-04-10 ,[620],35.8567586,139.5490737
620,Misato ,三郷市 ,Saitama ,128956 ,30.16,4276 ,1972-05-03 ,[621],35.8301491,139.8722748
621,Hasuda ,蓮田市 ,Saitama ,63375 ,27.27,2324 ,1972-10-01 ,[622],35.9943071,139.6621058
622,Sakado ,坂戸市 ,Saitama ,99680 ,40.97,2433 ,1976-09-01 ,[623],35.9571698,139.4029055
623,Satte ,幸手市 ,Saitama ,53485 ,33.95,1575 ,1986-10-01 ,[624],36.0780722,139.7258607
624,Tsurugashima ,鶴ヶ島市 ,Saitama ,70131 ,17.73,3955 ,1991-09-01 ,[625],35.934515,139.3930979
625,Hidaka ,日高市 ,Saitama ,55454 ,47.5,1167 ,1991-10-01 ,[626],35.9077959,139.3390264
626,Yoshikawa ,吉川市 ,Saitama ,63050 ,31.62,1994 ,1996-04-01 ,[627],35.8911519,139.841375
627,Saitama ,さいたま市 ,Saitama ,1192418 ,217.49,5483 ,2001-05-01 ,[628],35.8617292,139.6454822
628,Kumagaya ,熊谷市 ,Saitama ,204853 ,159.88,1281 ,2005-10-01 ,[629],36.1473097,139.3886446
629,Kasukabe ,春日部市 ,Saitama ,236854 ,65.98,3590 ,2005-10-01 ,[630],35.9751984,139.7523007
630,Fujimino ,ふじみ野市 ,Saitama ,103724 ,14.67,7070 ,2005-10-01 ,[631],35.8795383,139.5197639
631,Fukaya ,深谷市 ,Saitama ,146128 ,137.58,1062 ,2006-01-01 ,[632],36.1974437,139.2814638
632,Honjō ,本庄市 ,Saitama ,81805 ,89.71,912 ,2006-01-10 ,[633],36.2435676,139.190393
633,Ōtsu ,大津市 ,Shiga ,329024 ,464.1,709 ,1898-10-01 ,[634],35.0178929,135.8546074
634,Hikone ,彦根市 ,Shiga ,110945 ,196.84,564 ,1937-02-11 ,[635],35.274461,136.2596226
635,Ōmihachiman ,近江八幡市 ,Shiga ,69116 ,153.09,451 ,1954-03-31 ,[636],35.1283386,136.0979067
636,Kusatsu ,草津市 ,Shiga ,123512 ,67.92,1818 ,1954-10-15 ,[637],35.0131341,135.959936
637,Moriyama ,守山市 ,Shiga ,74263 ,54.81,1355 ,1970-07-01 ,[638],35.0589401,135.9944042
638,Rittō ,栗東市 ,Shiga ,62353 ,52.75,1182 ,2001-10-01 ,[639],35.0216168,135.9979959
639,Kōka ,甲賀市 ,Shiga ,94007 ,481.69,195 ,2004-10-01 ,[640],34.9661392,136.167092
640,Yasu ,野洲市 ,Shiga ,49821 ,81.07,615 ,2004-10-01 ,[641],35.0674538,136.0258504
641,Konan ,湖南市 ,Shiga ,55144 ,70.49,782 ,2004-10-01 ,[642],35.0041503,136.0846787
642,Takashima ,高島市 ,Shiga ,52967 ,693.0,76.4 ,2005-01-01 ,[643],35.3530713,136.0358297
643,Higashiōmi ,東近江市 ,Shiga ,117487 ,388.58,302 ,2005-02-11 ,[644],35.1124558,136.2077649
644,Maibara ,米原市 ,Shiga ,40757 ,250.46,163 ,2005-02-14 ,[645],35.3615849,136.370192
645,Nagahama ,長浜市 ,Shiga ,83555 ,247.01,338 ,2006-02-13 ,[646],35.3808146,136.2787218
646,Matsue ,松江市 ,Shimane ,195875 ,530.27,369 ,1889-04-01 ,[647],35.4680595,133.048375
647,Izumo ,出雲市 ,Shimane ,146115 ,543.48,269 ,1941-11-03 ,[648],35.3670351,132.7546815
648,Masuda ,益田市 ,Shimane ,50980 ,733.16,69.5 ,1952-08-01 ,[649],34.6748172,131.842862
649,Yasugi ,安来市 ,Shimane ,42997 ,420.97,102 ,1954-04-01 ,[650],35.4314422,133.2509151
650,Gōtsu ,江津市 ,Shimane ,26958 ,268.51,100 ,1954-04-01 ,[651],35.0114175,132.2209303
651,Unnan ,雲南市 ,Shimane ,43269 ,553.37,78.2 ,2004-11-01 ,[652],35.3077257,132.9002994
652,Hamada ,浜田市 ,Shimane ,61325 ,689.6,88.9 ,2005-10-01 ,[653],34.8993025,132.0797833
653,Ōda ,大田市 ,Shimane ,39593 ,436.11,90.8 ,2005-10-01 ,[654],35.1921063,132.4992932
654,Shizuoka ,静岡市 ,Shizuoka ,710944 ,1388.78,512 ,1889-04-01 ,[655],34.9771201,138.3830845
655,Hamamatsu ,浜松市 ,Shizuoka ,811431 ,1511.17,537 ,1911-07-01 ,[656],34.7108344,137.7261258
656,Numazu ,沼津市 ,Shizuoka ,206818 ,187.11,1105 ,1923-07-01 ,[657],35.0955842,138.8634925
657,Atami ,熱海市 ,Shizuoka ,40524 ,61.56,658 ,1937-04-10 ,[658],35.0962764,139.0717047
658,Mishima ,三島市 ,Shizuoka ,112320 ,62.13,1808 ,1941-04-29 ,[659],35.1184025,138.9185126
659,Fujinomiya ,富士宮市 ,Shizuoka ,122122 ,314.81,388 ,1942-06-01 ,[660],35.2220541,138.6216428
660,Itō ,伊東市 ,Shizuoka ,72038 ,124.13,580 ,1947-08-10 ,[661],34.9656705,139.1019363
661,Shimada ,島田市 ,Shizuoka ,95762 ,195.4,490 ,1948-01-01 ,[662],34.8363636,138.1759966
662,Iwata ,磐田市 ,Shizuoka ,172583 ,164.08,1052 ,1948-04-01 ,[663],34.7179035,137.8515133
663,Yaizu ,焼津市 ,Shizuoka ,120331 ,46.01,2615 ,1951-03-01 ,[664],34.8669202,138.3231893
664,Kakegawa ,掛川市 ,Shizuoka ,118660 ,265.63,447 ,1954-03-31 ,[665],34.7687667,137.998168
665,Fujieda ,藤枝市 ,Shizuoka ,129637 ,140.74,921 ,1954-03-31 ,[666],34.8673673,138.2574584
666,Gotenba ,御殿場市 ,Shizuoka ,88078 ,194.63,453 ,1955-02-11 ,[667],35.3085842,138.9345062
667,Fukuroi ,袋井市 ,Shizuoka ,85163 ,108.56,784 ,1958-11-03 ,[668],34.7501735,137.9246792
668,Fuji ,富士市 ,Shizuoka ,237279 ,214.1,1108 ,1966-11-01 ,[669],35.1613985,138.6762728
669,Shimoda ,下田市 ,Shizuoka ,25784 ,104.7,246 ,1971-01-01 ,[670],34.6795334,138.945316
670,Susono ,裾野市 ,Shizuoka ,53740 ,138.39,388 ,1971-01-01 ,[671],35.1738825,138.9067292
671,Kosai ,湖西市 ,Shizuoka ,44545 ,55.08,809 ,1972-01-01 ,[672],34.7184655,137.5316257
672,Izu ,伊豆市 ,Shizuoka ,35911 ,363.97,98.7 ,2004-04-01 ,[673],34.9765857,138.946704
673,Omaezaki ,御前崎市 ,Shizuoka ,35015 ,65.85,532 ,2004-04-01 ,[674],34.6379866,138.1281269
674,Kikugawa ,菊川市 ,Shizuoka ,47702 ,94.24,506 ,2005-01-17 ,[675],34.7577461,138.0845816
675,Izunokuni ,伊豆の国市 ,Shizuoka ,49711 ,94.71,525 ,2005-04-01 ,[676],35.0277354,138.9289209
676,Makinohara ,牧之原市 ,Shizuoka ,49726 ,111.5,446 ,2005-10-11 ,[677],34.7400427,138.2246522
677,Utsunomiya ,宇都宮市 ,Tochigi ,507833 ,416.84,1218 ,1896-04-01 ,[678],36.5551124,139.8828072
678,Ashikaga ,足利市 ,Tochigi ,157793 ,177.82,887 ,1921-01-01 ,[679],36.3401513,139.4496984
679,Tochigi ,栃木市 ,Tochigi ,81601 ,122.06,669 ,1937-04-01 ,[680],36.3823804,139.734081
680,Kanuma ,鹿沼市 ,Tochigi ,103690 ,490.62,211 ,1948-10-10 ,[681],36.5671105,139.7450127
681,Oyama ,小山市 ,Tochigi ,162283 ,171.61,946 ,1954-03-31 ,[682],36.3146714,139.800131
682,Mooka ,真岡市 ,Tochigi ,66705 ,111.76,597 ,1954-10-01 ,[683],36.4404189,140.0134416
683,Ōtawara ,大田原市 ,Tochigi ,78563 ,354.12,222 ,1954-12-01 ,[684],36.871484,140.0174187
684,Yaita ,矢板市 ,Tochigi ,35462 ,170.66,208 ,1958-11-01 ,[685],36.8066862,139.924054
685,Nasushiobara ,那須塩原市 ,Tochigi ,115633 ,592.82,195 ,2005-01-01 ,[686],36.961698,140.046066
686,Sano ,佐野市 ,Tochigi ,123034 ,356.07,346 ,2005-02-28 ,[687],36.3143491,139.578341
687,Sakura ,さくら市 ,Tochigi ,42403 ,125.46,338 ,2005-03-28 ,[688],36.6853014,139.9664523
688,Nasukarasuyama ,那須烏山市 ,Tochigi ,30433 ,174.42,174 ,2005-10-01 ,[689],36.6568934,140.1514256
689,Shimotsuke ,下野市 ,Tochigi ,59459 ,74.58,797 ,2006-01-10 ,[690],36.3951438,139.8520771
690,Nikkō ,日光市 ,Tochigi ,92181 ,1449.87,63.6 ,2006-03-20 ,[691],36.7199026,139.6982161
691,Tokushima ,徳島市 ,Tokushima ,266370 ,191.39,1392 ,1889-10-01 ,[692],34.0702703,134.5548438
692,Naruto ,鳴門市 ,Tokushima ,62453 ,135.46,461 ,1947-03-15 ,[693],34.1725623,134.6087858
693,Komatsushima ,小松島市 ,Tokushima ,41540 ,45.24,918 ,1951-06-01 ,[694],34.0047114,134.5906739
694,Anan ,阿南市 ,Tokushima ,77099 ,279.39,276 ,1958-05-01 ,[695],33.9220312,134.6595323
695,Yoshinogawa ,吉野川市 ,Tokushima ,44905 ,144.19,311 ,2004-10-01 ,[696],34.0256886,134.2598331
696,Mima ,美馬市 ,Tokushima ,33520 ,367.38,91.2 ,2005-03-01 ,[697],34.0534034,134.1697495
697,Awa ,阿波市 ,Tokushima ,40303 ,190.97,211 ,2005-04-01 ,[698],34.1021478,134.2974365
698,Miyoshi ,三好市 ,Tokushima ,32329 ,721.48,44.8 ,2006-03-01 ,[699],34.0260411,133.8072634
699,Hachiōji ,八王子市 ,Tokyo ,567367 ,186.31,3045 ,1917-09-01 ,[700],35.6663394,139.3158056
700,Tachikawa ,立川市 ,Tokyo ,175639 ,24.38,7204 ,1940-12-01 ,[701],35.7140142,139.4078431
701,Musashino ,武蔵野市 ,Tokyo ,138516 ,10.73,12909 ,1947-11-03 ,[702],35.7177841,139.56626
702,Mitaka ,三鷹市 ,Tokyo ,180797 ,16.5,10957 ,1950-11-03 ,[703],35.683513,139.5595842
703,Ōme ,青梅市 ,Tokyo ,141708 ,103.26,1372 ,1951-04-01 ,[704],35.7879958,139.2758298
704,Fuchū ,府中市 ,Tokyo ,248445 ,29.34,8468 ,1954-04-01 ,[705],35.6689735,139.4776614
705,Akishima ,昭島市 ,Tokyo ,111763 ,17.33,6449 ,1954-05-01 ,[706],35.7057552,139.3535483
706,Chōfu ,調布市 ,Tokyo ,219053 ,21.53,10174 ,1955-04-01 ,[707],35.6506145,139.5406936
707,Machida ,町田市 ,Tokyo ,413786 ,71.63,5777 ,1958-02-01 ,[708],35.546631,139.4386186
708,Koganei ,小金井市 ,Tokyo ,115116 ,11.33,10160 ,1958-10-01 ,[709],35.6994733,139.5029916
709,Kodaira ,小平市 ,Tokyo ,185829 ,20.46,9083 ,1962-10-01 ,[710],35.7285774,139.477456
710,Hino ,日野市 ,Tokyo ,179482 ,27.53,6520 ,1963-11-03 ,[711],35.6713374,139.3949261
711,Higashimurayama ,東村山市 ,Tokyo ,146585 ,17.17,8537 ,1964-04-01 ,[712],35.7545968,139.4684892
712,Kokubunji ,国分寺市 ,Tokyo ,118801 ,11.48,10349 ,1964-11-03 ,[713],35.7103347,139.4631912
713,Kunitachi ,国立市 ,Tokyo ,73362 ,8.15,9001 ,1967-01-01 ,[714],35.6838846,139.4413803
714,Fussa ,福生市 ,Tokyo ,60413 ,10.24,5900 ,1970-07-01 ,[715],35.7384505,139.3269322
715,Komae ,狛江市 ,Tokyo ,78237 ,6.39,12244 ,1970-10-01 ,[716],35.6349115,139.5787325
716,Higashiyamato ,東大和市 ,Tokyo ,81445 ,13.54,6015 ,1970-10-01 ,[717],35.7453692,139.4265933
717,Kiyose ,清瀬市 ,Tokyo ,73518 ,10.19,7215 ,1970-10-01 ,[718],35.7857526,139.5264304
718,Higashikurume ,東久留米市 ,Tokyo ,115405 ,12.92,8932 ,1970-10-01 ,[719],35.7580477,139.5297392
719,Musashimurayama ,武蔵村山市 ,Tokyo ,68333 ,15.37,4446 ,1970-11-03 ,[720],35.7548614,139.3873993
720,Tama ,多摩市 ,Tokyo ,149404 ,21.08,7087 ,1971-11-01 ,[721],35.6370041,139.4463069
721,Inagi ,稲城市 ,Tokyo ,80772 ,17.97,4495 ,1971-11-01 ,[722],35.6379238,139.5045669
722,Hamura ,羽村市 ,Tokyo ,56984 ,9.91,5750 ,1991-11-01 ,[723],35.7672215,139.3109437
723,Akiruno ,あきる野市 ,Tokyo ,80268 ,73.34,1094 ,1995-09-01 ,[724],35.7289201,139.2941195
724,Nishitōkyō ,西東京市 ,Tokyo ,193350 ,15.85,12199 ,2001-01-21 ,[725],35.7254963,139.5381564
725,Special wards of Tokyo ,東京特別区部 ,Tokyo ,8637098 ,621.81,13890 ,,,,
726,Adachi ,足立区 ,Tokyo ,629392 ,53.2,11830 ,1947-03-13 ,[726],35.7756644,139.8044788
727,Arakawa ,荒川区 ,Tokyo ,194777 ,10.2,18262 ,1947-03-13 ,[727],35.73608,139.783369
728,Bunkyo ,文京区 ,Tokyo ,194933 ,11.31,16009 ,1947-03-13 ,[728],35.7080677,139.752167
729,Chiyoda ,千代田区 ,Tokyo ,43802 ,11.64,3763 ,1947-03-13 ,[729],35.6940027,139.7535951
730,Chūō ,中央区 ,Tokyo ,104997 ,10.15,10344 ,1947-03-13 ,[730],35.6706505,139.7718614
731,Edogawa ,江戸川区 ,Tokyo ,661386 ,49.86,13264 ,1947-03-13 ,[731],35.7066569,139.8684267
732,Itabashi ,板橋区 ,Tokyo ,529059 ,32.17,16445 ,1947-03-13 ,[732],35.7511648,139.7092437
733,Katsushika ,葛飾区 ,Tokyo ,428066 ,34.84,12286 ,1947-03-13 ,[733],35.7435748,139.8471797
734,Kita ,北区 ,Tokyo ,330646 ,20.59,15885 ,1947-03-13 ,[734],35.7528042,139.7334805
735,Koto ,江東区 ,Tokyo ,436337 ,39.8,10963 ,1947-03-13 ,[735],35.6728535,139.8174097
736,Meguro ,目黒区 ,Tokyo ,267798 ,14.7,18217 ,1947-03-13 ,[736],35.6414629,139.6981712
737,Minato ,港区 ,Tokyo ,205196 ,20.34,10088 ,1947-03-13 ,[737],35.6580681,139.7515992
738,Nakano ,中野区 ,Tokyo ,312939 ,15.59,20097 ,1947-03-13 ,[738],35.7073985,139.6638354
739,Nerima ,練馬区 ,Tokyo ,702202 ,48.16,14580 ,1947-08-01 ,[739],35.7356234,139.6516577
740,Ōta ,大田区 ,Tokyo ,674590 ,59.46,11345 ,1947-03-13 ,[740],35.5612568,139.7160511
741,Setagaya ,世田谷区 ,Tokyo ,855416 ,58.08,14728 ,1947-03-13 ,[741],35.6465721,139.6532473
742,Shibuya ,渋谷区 ,Tokyo ,205512 ,15.11,13337 ,1947-03-13 ,[742],35.6617773,139.7040506
743,Shinagawa ,品川区 ,Tokyo ,353887 ,22.72,15576 ,1947-03-13 ,[743],35.6092261,139.7301861
744,Shinjuku ,新宿区 ,Tokyo ,309463 ,18.23,16975 ,1947-03-13 ,[744],35.6938401,139.7035494
745,Suginami ,杉並区 ,Tokyo ,534981 ,34.02,15725 ,1947-03-13 ,[745],35.6995657,139.6364379
746,Sumida ,墨田区 ,Tokyo ,237433 ,13.75,16079 ,1947-03-13 ,[746],35.7107215,139.8014968
747,Taitō ,台東区 ,Tokyo ,168277 ,10.08,16139 ,1947-03-13 ,[747],35.712607,139.7799956
748,Toshima ,豊島区 ,Tokyo ,256009 ,13.01,19428 ,1947-03-13 ,[748],35.7261178,139.7166049
749,Tottori ,鳥取市 ,Tottori ,200315 ,765.66,262 ,1889-10-01 ,[749],35.5011326,134.2350914
750,Yonago ,米子市 ,Tottori ,149140 ,132.21,1128 ,1927-04-01 ,[750],35.4280717,133.3309447
751,Kurayoshi ,倉吉市 ,Tottori ,51453 ,272.15,189 ,1953-10-01 ,[751],35.4301794,133.825561
752,Sakaiminato ,境港市 ,Tottori ,35908 ,28.79,1247 ,1956-04-01 ,[752],35.5395916,133.2314862
753,Toyama ,富山市 ,Toyama ,421116 ,1241.85,339 ,1889-04-01 ,[753],36.6959518,137.2136768
754,Uozu ,魚津市 ,Toyama ,45945 ,200.63,229 ,1952-04-01 ,[754],36.8273674,137.4092146
755,Himi ,氷見市 ,Toyama ,53316 ,230.47,231 ,1952-08-01 ,[755],36.8559811,136.9728488
756,Namerikawa ,滑川市 ,Toyama ,33789 ,54.61,619 ,1954-03-01 ,[756],36.7643778,137.3411906
757,Tonami ,砺波市 ,Toyama ,49396 ,126.96,389 ,1954-04-01 ,[757],36.6475336,136.9620085
758,Oyabe ,小矢部市 ,Toyama ,32656 ,134.11,244 ,1962-08-01 ,[758],36.6755751,136.8686222
759,Nanto ,南砺市 ,Toyama ,57061 ,668.86,85.3 ,2004-11-01 ,[759],36.5575131,136.8753356
760,Takaoka ,高岡市 ,Toyama ,178965 ,209.38,855 ,2005-11-01 ,[760],36.7540964,137.0257282
761,Imizu ,射水市 ,Toyama ,94691 ,109.18,867 ,2005-11-01 ,[761],36.7824552,137.0796145
762,Kurobe ,黒部市 ,Toyama ,42612 ,426.34,99.9 ,2006-03-31 ,[762],36.8715082,137.4480303
763,Wakayama ,和歌山市 ,Wakayama ,372175 ,209.23,1779 ,1889-04-01 ,[763],34.2305113,135.1708083
764,Kainan ,海南市 ,Wakayama ,55877 ,101.18,552 ,1934-05-01 ,[764],34.1553356,135.2092226
765,Tanabe ,田辺市 ,Wakayama ,80478 ,1026.77,78.4 ,1942-05-20 ,[765],33.7280335,135.377768
766,Gobō ,御坊市 ,Wakayama ,26335 ,43.93,599 ,1954-04-01 ,[766],33.8914924,135.1523464
767,Arida ,有田市 ,Wakayama ,31194 ,36.92,845 ,1956-05-01 ,[767],34.0830954,135.127635
768,Shingū ,新宮市 ,Wakayama ,32654 ,255.43,128 ,2005-10-01 ,[768],33.7241076,135.9929551
769,Kinokawa ,紀の川市 ,Wakayama ,67192 ,228.24,294 ,2005-11-07 ,[769],34.2698603,135.3627568
770,Hashimoto ,橋本市 ,Wakayama ,67505 ,130.31,518 ,2006-03-01 ,[770],34.3150526,135.6052962
771,Iwade ,岩出市 ,Wakayama ,51843 ,38.5,1347 ,2006-04-01 ,[771],34.2562947,135.3113232
772,Yamagata ,山形市 ,Yamagata ,255370 ,381.34,670 ,1889-04-01 ,[772],38.2554388,140.3396017
773,Yonezawa ,米沢市 ,Yamagata ,91704 ,548.74,167 ,1889-04-01 ,[773],37.9222401,140.1167811
774,Shinjō ,新庄市 ,Yamagata ,39808 ,223.08,178 ,1949-04-01 ,[774],38.7650154,140.3016084
775,Sagae ,寒河江市 ,Yamagata ,43299 ,139.08,311 ,1954-08-01 ,[775],38.3809635,140.2759667
776,Kaminoyama ,上山市 ,Yamagata ,35086 ,240.95,146 ,1954-10-01 ,[776],38.149562,140.2678268
777,Murayama ,村山市 ,Yamagata ,27586 ,196.83,140 ,1954-11-01 ,[777],38.4833438,140.3803719
778,Nagai ,長井市 ,Yamagata ,30285 ,214.69,141 ,1954-11-15 ,[778],38.1074936,140.0405238
779,Tendō ,天童市 ,Yamagata ,63470 ,113.01,562 ,1958-10-01 ,[779],38.3622648,140.3778858
780,Higashine ,東根市 ,Yamagata ,46141 ,207.17,223 ,1958-11-03 ,[780],38.4313543,140.3910903
781,Obanazawa ,尾花沢市 ,Yamagata ,19937 ,372.32,53.5 ,1959-04-10 ,[781],38.6006216,140.405691
782,Nan'yō ,南陽市 ,Yamagata ,34542 ,160.7,215 ,1967-04-01 ,[782],38.0551411,140.1483749
783,Tsuruoka ,鶴岡市 ,Yamagata ,140097 ,1311.51,107 ,2005-10-01 ,[783],38.7271972,139.8267307
784,Sakata ,酒田市 ,Yamagata ,114964 ,602.79,191 ,2005-11-01 ,[784],38.9147858,139.8365708
785,Ube ,宇部市 ,Yamaguchi ,176370 ,287.69,613 ,1921-11-01 ,[785],33.9515087,131.2467858
786,Hōfu ,防府市 ,Yamaguchi ,116393 ,188.59,617 ,1936-08-25 ,[786],34.0517516,131.56269
787,Kudamatsu ,下松市 ,Yamaguchi ,54026 ,89.36,605 ,1939-11-03 ,[787],34.0150299,131.8703421
788,Mine ,美祢市 ,Yamaguchi ,17355 ,228.25,76.0 ,1954-03-31 ,[788],34.1666354,131.2056781
789,Shūnan ,周南市 ,Yamaguchi ,150299 ,656.25,229 ,2003-04-21 ,[789],34.0551188,131.8061858
790,Hikari ,光市 ,Yamaguchi ,53274 ,91.94,579 ,2004-10-04 ,[790],33.9619132,131.9422817
791,Shimonoseki ,下関市 ,Yamaguchi ,286073 ,716.06,400 ,2005-02-13 ,[791],33.9578307,130.941459
792,Yanai ,柳井市 ,Yamaguchi ,35438 ,139.9,253 ,2005-02-21 ,[792],33.9638333,132.1015969
793,Hagi ,萩市 ,Yamaguchi ,55831 ,698.87,79.9 ,2005-03-06 ,[793],34.4081155,131.3990849
794,Nagato ,長門市 ,Yamaguchi ,39825 ,357.92,111 ,2005-03-22 ,[794],34.3709562,131.1821947
795,San'yō-Onoda ,山陽小野田市 ,Yamaguchi ,65523 ,132.99,493 ,2005-03-22 ,[795],34.0030636,131.1819669
796,Yamaguchi ,山口市 ,Yamaguchi ,192008 ,730.23,263 ,2005-10-01 ,[796],34.1859563,131.4706493
797,Iwakuni ,岩国市 ,Yamaguchi ,146885 ,872.71,168 ,2006-03-20 ,[797],34.1665616,132.2188479
798,Kōfu ,甲府市 ,Yamanashi ,199374 ,212.41,939 ,1889-07-01 ,[798],35.66228,138.5682015
799,Fujiyoshida ,富士吉田市 ,Yamanashi ,51879 ,121.83,426 ,1951-03-20 ,[799],35.4874967,138.8078541
800,Tsuru ,都留市 ,Yamanashi ,34439 ,161.58,213 ,1954-04-29 ,[800],35.5516801,138.9054727
801,Ōtsuki ,大月市 ,Yamanashi ,29869 ,280.3,107 ,1954-08-08 ,[801],35.6104852,138.9400276
802,Nirasaki ,韮崎市 ,Yamanashi ,33539 ,143.73,233 ,1954-10-10 ,[802],35.708897,138.4461267
803,Minami-Alps ,南アルプス市 ,Yamanashi ,72295 ,264.06,274 ,2003-04-01 ,[803],35.6083275,138.464966
804,Kai ,甲斐市 ,Yamanashi ,74077 ,71.94,1030 ,2004-09-01 ,[804],35.686259,138.4872571
805,Fuefuki ,笛吹市 ,Yamanashi ,71184 ,201.92,353 ,2004-10-12 ,[805],35.6473601,138.6397857
806,Hokuto ,北杜市 ,Yamanashi ,47754 ,602.89,79.2 ,2004-11-01 ,[806],35.7765303,138.4237811
807,Uenohara ,上野原市 ,Yamanashi ,28295 ,170.65,166 ,2005-02-13 ,[807],35.6302591,139.1085986
808,Yamanashi ,山梨市 ,Yamanashi ,38202 ,289.87,132 ,2005-03-22 ,[808],35.6641575,138.5684486
809,Kōshū ,甲州市 ,Yamanashi ,35072 ,264.01,133 ,2005-11-01 ,[809],35.7043159,138.7294044
810,Chūō ,中央市 ,Yamanashi ,31875 ,31.81,1002 ,2006-02-20 ,[810],35.5996289,138.5172718
